Age,Height,Weight,Gender,injury,equipment,level,Exercise
20,175,70,male,Upper,Body Only,Beginner,Arom Side lying Abduction
21,175,71,male,Lower,Body Only,Beginner,Air Squat
22,175,72,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,175,73,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,175,74,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,175,75,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,175,76,male,Upper,Body Only,Beginner,Arom Side lying Abduction
27,175,77,male,Lower,Body Only,Beginner,Air Squat
28,175,78,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,175,79,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,175,80,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,175,81,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,175,82,male,Upper,Body Only,Beginner,Arom Side lying Abduction
33,175,83,male,Lower,Body Only,Beginner,Air Squat
34,175,84,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,175,85,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,155,50,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,155,51,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,155,52,female,Upper,Body Only,Beginner,Arom Side lying Abduction
23,155,53,female,Lower,Body Only,Beginner,Air Squat
24,155,54,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,155,55,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,155,56,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
27,155,57,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
28,155,58,female,Upper,Body Only,Beginner,Arom Side lying Abduction
29,155,59,female,Lower,Body Only,Beginner,Air Squat
30,155,60,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
31,155,61,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
32,155,62,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
33,155,63,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
34,155,64,female,Upper,Body Only,Beginner,Arom Side lying Abduction
35,155,65,female,Lower,Body Only,Beginner,Air Squat
20,176,86,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
21,176,87,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
22,176,88,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
23,176,89,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
24,176,90,male,Upper,Body Only,Beginner,Arom Side lying Abduction
25,176,91,male,Lower,Body Only,Beginner,Air Squat
26,176,92,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
27,176,93,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
28,176,94,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
29,176,95,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
30,176,96,male,Upper,Body Only,Beginner,Arom Side lying Abduction
31,176,97,male,Lower,Body Only,Beginner,Air Squat
32,176,98,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
33,176,99,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
34,176,100,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
35,176,101,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
20,156,66,female,Upper,Body Only,Beginner,Arom Side lying Abduction
21,156,67,female,Lower,Body Only,Beginner,Air Squat
22,156,68,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
23,156,69,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
24,156,70,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
25,156,71,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
26,156,72,female,Upper,Body Only,Beginner,Arom Side lying Abduction
27,156,73,female,Lower,Body Only,Beginner,Air Squat
28,156,74,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
29,156,75,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
30,156,76,female,Lower,Dumbbells,Intermediate,Dumbbell Squat
31,156,77,female,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
32,156,78,female,Upper,Body Only,Beginner,Arom Side lying Abduction
33,156,79,female,Lower,Body Only,Beginner,Air Squat
34,156,80,female,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
35,156,81,female,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
20,177,70,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
21,177,72,male,Abdominals & Lower Back,Dumbbells,Advanced,Reverse Lung with Contralateral Shoulder Press
22,177,74,male,Upper,Body Only,Beginner,Arom Side lying Abduction
23,177,76,male,Lower,Body Only,Beginner,Air Squat
24,177,78,male,Abdominals & Lower Back,Body Only,Intermediate,Dead Bug
25,177,80,male,Upper,Dumbbells,Intermediate,Dumbbell Front Raise
26,177,82,male,Lower,Dumbbells,Intermediate,Dumbbell Squat
